,Date,Home Team,Away Team,Home Score,Away Score,Tournament,City,Country,Neutral,Outcome,Winning Team,Losing Team,Total Goals,Year,Decade,Month,Month Name,Day of Week
2,1874-03-07,Scotland,England,2,1,Friendly,Glasgow,Scotland,False,H,Scotland,England,3,1874,1870,3,March,Saturday
4,1876-03-04,Scotland,England,3,0,Friendly,Glasgow,Scotland,False,H,Scotland,England,3,1876,1870,3,March,Saturday
5,1876-03-25,Scotland,Wales,4,0,Friendly,Glasgow,Scotland,False,H,Scotland,Wales,4,1876,1870,3,March,Saturday
6,1877-03-03,England,Scotland,1,3,Friendly,London,England,False,A,Scotland,England,4,1877,1870,3,March,Saturday
7,1877-03-05,Wales,Scotland,0,2,Friendly,Wrexham,Wales,False,A,Scotland,Wales,2,1877,1870,3,March,Monday
8,1878-03-02,Scotland,England,7,2,Friendly,Glasgow,Scotland,False,H,Scotland,England,9,1878,1870,3,March,Saturday
9,1878-03-23,Scotland,Wales,9,0,Friendly,Glasgow,Scotland,False,H,Scotland,Wales,9,1878,1870,3,March,Saturday
12,1879-04-07,Wales,Scotland,0,3,Friendly,Wrexham,Wales,False,A,Scotland,Wales,3,1879,1870,4,April,Monday
13,1880-03-13,Scotland,England,5,4,Friendly,Glasgow,Scotland,False,H,Scotland,England,9,1880,1880,3,March,Saturday
15,1880-03-27,Scotland,Wales,5,1,Friendly,Glasgow,Scotland,False,H,Scotland,Wales,6,1880,1880,3,March,Saturday
17,1881-03-12,England,Scotland,1,6,Friendly,London,England,False,A,Scotland,England,7,1881,1880,3,March,Saturday
18,1881-03-14,Wales,Scotland,1,5,Friendly,Wrexham,Wales,False,A,Scotland,Wales,6,1881,1880,3,March,Monday
21,1882-03-11,Scotland,England,5,1,Friendly,Glasgow,Scotland,False,H,Scotland,England,6,1882,1880,3,March,Saturday
23,1882-03-25,Scotland,Wales,5,0,Friendly,Glasgow,Scotland,False,H,Scotland,Wales,5,1882,1880,3,March,Saturday
26,1883-03-10,England,Scotland,2,3,Friendly,Sheffield,England,False,A,Scotland,England,5,1883,1880,3,March,Saturday
27,1883-03-12,Wales,Scotland,0,3,Friendly,Wrexham,Wales,False,A,Scotland,Wales,3,1883,1880,3,March,Monday
29,1884-01-26,Northern Ireland,Scotland,0,5,British Championship,Belfast,Ireland,False,A,Scotland,Northern Ireland,5,1884,1880,1,January,Saturday
32,1884-03-15,Scotland,England,1,0,British Championship,Glasgow,Scotland,False,H,Scotland,England,1,1884,1880,3,March,Saturday
34,1884-03-29,Scotland,Wales,4,1,British Championship,Glasgow,Scotland,False,H,Scotland,Wales,5,1884,1880,3,March,Saturday
37,1885-03-14,Scotland,Northern Ireland,8,2,British Championship,Glasgow,Scotland,False,H,Scotland,Northern Ireland,10,1885,1880,3,March,Saturday
39,1885-03-23,Wales,Scotland,1,8,British Championship,Wrexham,Wales,False,A,Scotland,Wales,9,1885,1880,3,March,Monday
44,1886-03-20,Northern Ireland,Scotland,2,7,British Championship,Belfast,Ireland,False,A,Scotland,Northern Ireland,9,1886,1880,3,March,Saturday
47,1886-04-10,Scotland,Wales,4,1,British Championship,Glasgow,Scotland,False,H,Scotland,Wales,5,1886,1880,4,April,Saturday
50,1887-02-19,Scotland,Northern Ireland,4,1,British Championship,Glasgow,Scotland,False,H,Scotland,Northern Ireland,5,1887,1880,2,February,Saturday
53,1887-03-19,England,Scotland,2,3,British Championship,Blackburn,England,False,A,Scotland,England,5,1887,1880,3,March,Saturday
54,1887-03-21,Wales,Scotland,0,2,British Championship,Wrexham,Wales,False,A,Scotland,Wales,2,1887,1880,3,March,Monday
57,1888-03-10,Scotland,Wales,5,1,British Championship,Edinburgh,Scotland,False,H,Scotland,Wales,6,1888,1880,3,March,Saturday
59,1888-03-24,Northern Ireland,Scotland,2,10,British Championship,Belfast,Ireland,False,A,Scotland,Northern Ireland,12,1888,1880,3,March,Saturday
